Name,Latitude,Longitude
Lac Beauregard Seaplane Base,47,-75
Oscoda Wurtsmith Airport,44,-83
St Mary's Hospital Heliport,45,-88
Shoreline Clinic Heliport,41,-72
Siorapaluk Heliport,78,-71
Foltz Heliport,41,-81
Repulse Bay Airport,67,-86
Ben L. Briggs Heliport,30,-89
Woodland Airstrip,44,-88
Matson Airport,43,-89
Agua Caliente Airport,15,-87
Air One Enterprise Heliport,40,-77
Twin Lakes Regional Medical Center Heliport,37,-86
Hooterville Airport,40,-89
Upsala Heliport,49,-90
Rosedale Airport,46,-84
Rockingham County Heliport,36,-80
Wings N Sunsets LLC Airport,30,-83
Amubri Airport,10,-83
Steeplechase Pier Heliport,39,-74
Hudgins Farm Ultralightport,37,-76
Atar International Airport,21,-13
Eastover Air Ranch Airport,35,-79
Santa Fe River Ranch Airport,30,-82
Boonville Airport,38,-87
Windswept Airport,41,-84
Huntsville Hospital Heliport,35,-87
Isortoq Heliport,66,-39
Bakki Airport,64,-20
Saint Louis Children's Hospital Heliport,39,-90
Ottawa / Embrun Airport,45,-75
Sødalen Landingstrip,68,-32
Oscar Machado Zuluaga Airport,10,-67
Rolling Hills Airport,41,-74
Hilldale Airport,38,-78
Broad Street Heliport,42,-73
Tishomingo County Airport,34,-88
Kaédi Airport,16,-14
Freefall Field,41,-83
Doyle's Airport,39,-76
Cooper Medical Center Heliport,40,-75
Pond Road Heliport,43,-71
Teco Plaza Heliport,28,-82
Gunner Field,45,-90
CFB Borden,44,-80
Baptist Medical Center/Beaches Heliport,30,-81
Stottlemyer Airport,40,-86
Ransome Heliport,40,-76
Quincy Municipal Airport,31,-85
Adkisson Airport,40,-89
Holiday Inn Lakeview Heliport,38,-86
General Mitchell International Airport,43,-88
Midwest Communication Heliport,39,-84
Mc Leansboro Airport,38,-89
Evangelical Community Hospital East Heliport,41,-77
Virgil Heliport,32,-84
Charlotte Amalie Harbor Seaplane Base,18,-65
Southwest Citrus Airport,27,-81
Stonington Municipal Airport,44,-69
Gerrard Smith International Airport,20,-80
Benham Airport,39,-87
Gravity Zero Airport,38,-85
Franklin County Memorial Hospital Heliport,37,-80
Pelon Nuevo Airport,10,-85
Iqaluit Airport,64,-69
Kuummiut Heliport,66,-37
Uhi Airport,15,-84
Lake Placid Airport,44,-74
Lac Kaiagamac Seaplane Base,47,-74
Flying M Airport,36,-80
Carriage Lane Airport,42,-84
Northwest Waterbird Seaplane Base,44,-74
Sprint/Carolina Telephone Heliport,35,-79
De Witt Property Airport,43,-86
Clayton County Tara Field,33,-84
Walter Airport,42,-89
Buzzards Gap Ultralightport,39,-78
Pico Airport,39,-28
Geauga County Airport,41,-81
Ibm King St Heliport,41,-74
Inagua Airport,21,-74
Proctor Hospital Heliport,41,-90
Kruggel Airport,41,-82
Echo 8 Communications Facility Heliport,41,-80
Cornish Field,42,-86
Russellville Municipal Airport,34,-88
North Grip Ice Landingstrip,75,-42
Alton Bay Seaplane Base,43,-71
Las Majaguas Airport,10,-69
Henderson Field,35,-78
Jucapa Farms Airport,39,-78
Penske 2 Heliport,41,-74
Diedrich Seaplane Base,43,-90
Ferrell Airport,41,-84
Mcv Heliport,38,-77
Reedsburg Municipal Airport,44,-90
Rhea Medical Center Heliport,36,-85
Wayne Ziller Jr Airport,41,-89
Hassell Field,35,-88
Ridgely Airpark,39,-76
Caton South Heliport,38,-78
Jane Todd Crawford Hospital Heliport,37,-85
Scott'S Sky Ranch Airport,43,-78
Westrick Airport,41,-86
Docktors Field,42,-73
Hacienda La Suerte Airport,10,-84
St James Hospital and Health Center Heliport,42,-88
Los Belseres Airport,11,-68
Mill Creek Airport,40,-83
Marlboro County Jetport H.E. Avent Field,35,-80
Parc Gatineau Seaplane Base,46,-76
Able Airpark,31,-85
Weidner Airport,39,-90
Flying J Ranch Airport,34,-86
Broadwater Airport,37,-90
Digby / Annapolis Regional Airport,45,-66
Ibm Building 250 Heliport,39,-78
Baptist Medical Center of Nassau Heliport,31,-81
Ideal Mfg Corp Airport,40,-75
Leeds & Northrup Co. Heliport,40,-75
Pratt Airport,30,-84
Greenville Spartanburg International Airport,35,-82
Narsaq Kujalleq Heliport,60,-45
Greer Airport,40,-77
Huff Memorial Airport,43,-72
Dupont Hospital Heliport,41,-85
Grayhill Airport,33,-85
Ullswater Airport,45,-80
David Beiswanger Ultralightport,42,-85
River Hill Heliport,41,-76
Mite Airport,40,-85
San Pedro Airport,18,-88
Grand Bend Airport,43,-82
F. D. Roosevelt Airport,17,-63
Chevery Airport,50,-60
Sky Soaring Airport,42,-89
Belcher Regional Airport,37,-82
Lincolnton Lincoln County Regional Airport,35,-81
Candlelight Heliport,42,-73
Garrett County Memorial Hospital Heliport,39,-79
Bearwallow Farm Airport,35,-82
Sharpe Field,32,-86
South Brook Seaplane Base,49,-58
Alabama Power Headquarters Heliport,34,-87
Caledonia/Grand River Seaplane Base,43,-80
Thunderbird Air Park,29,-82
Saratoga County Airport,43,-74
Caloosa Downtown Seaplane Base,27,-82
Highgate (South),42,-82
Fremont (Murphy) Airport,42,-85
Matawatchan,45,-77
Samana El Portillo Airport,19,-70
Montreal / Marina Venise,46,-74
Wharf Heliport,43,-71
Wayne West Heliport,42,-71
Miller Airport,39,-82
Pitcairn Heliport,40,-75
Brown Field,33,-84
Pine Mountain Aero Heliport,37,-83
Valley View Airport,39,-78
Hampton Regional Medical Center Heliport,33,-81
Central Jersey Bank Heliport,40,-74
Nakina Airport,50,-87
Fly'N R Ranch Airport,29,-82
La Katabila Airport,15,-84
Southerly Airport,28,-82
Thomas Airport,45,-71
Holmes Regional Medical Center Heliport,28,-81
Fitch H Beach Airport,43,-85
Williamsport Hospital & Medical Center Heliport,41,-77
Alpena County Regional Airport,45,-84
Morrow County Airport,41,-83
Minnick's Heliport,39,-82
Baltic Heliport,40,-82
Duncan Town Airport,22,-76
Tri-County Regional Airport,43,-90
Rafael Nuñez International Airport,10,-76
Fox Haven Plantation STOLport,35,-82
Kroksfjard-Arnes Airport,65,-22
Crawford W. Long Memorial Hospital Heliport,34,-84
Sidney Municipal Airport,42,-75
Auca Airport,15,-84
Wbrc-Tv Heliport,33,-87
Heronwood Heliport,39,-78
Sandy Creek Airpark,30,-85
Eby Field,42,-86
Spring Valley Farm Airport,34,-84
Springstead Airport,46,-90
Tautz Airport,42,-90
Lake Josephine Seaplane Base,27,-81
Woodstock Private Airstrip,43,-81
Elbert-County-Patz Field,34,-83
Summerland Key Cove Airport,25,-81
Evers Seaplane Base,41,-74
Berlin Heliport,30,-82
Goloson International Airport,16,-87
Jungclaus Airport,39,-86
Camden Municipal Airport,32,-87
Waupaca Municipal Airport,44,-89
St. Tammany Regional Airport,30,-90
Cookstown Airport,44,-80
Qeqertarsuaq Heliport,69,-54
Linville Ridge Heliport,36,-82
Forked River Heliport,40,-74
Minerva Airport,41,-81
Pam's Place Airport,40,-87
Valcourt Airport,45,-72
J Rock Airport,43,-89
Happy Heliport,42,-71
Foreman Field,36,-87
Hartenbower Hectares Airport,41,-89
Careferre Acres Airport,39,-87
Jay Airport,31,-87
El Aguacate Airport,15,-86
Inukjuak Airport,58,-78
Iowa County Airport,43,-90
Bixby Hospital Heliport,42,-84
Kenstin Manor Airport,39,-86
Rogers Heliport,40,-84
Randal Field,36,-90
Clermont County Airport,39,-84
Ridge Road West Airport,43,-78
Morgan Farm Field,34,-84
Dupont Lapeer Airport,43,-83
St Charles Airport,30,-90
Atlantic Research Corp Heliport,38,-78
Thomson Mcduffie County Airport,34,-83
Dublin Field,35,-79
Greene County Parachute Center Airport,38,-86
Jesup Wayne County Airport,32,-82
St Marys Health Care Systems Heliport,34,-83
James A Haley Veterans Hospital Heliport,28,-82
Merrymeeting Field,44,-70
Monroe County Airport,34,-88
Schoettmer Farm Airport,39,-86
Mountain Hide-Away Airport,41,-78
Fergus (Vodarek Field),44,-80
Mount Carmel Municipal Airport,39,-88
Caibarién Airport,23,-79
Beaver Dam Airpark,37,-77
Barrio El Aterrizaje Airport,14,-87
West Georgia Medical Center Heliport,33,-85
Simandl Field/Private Airport,43,-88
Hacienda Veracruz Airport,11,-75
Fuerteventura Airport,28,-14
Madison Airport,38,-84
Canouan Airport,13,-61
Kline Field,41,-85
Rus Rus I Airport,15,-84
Haliburton Seaplane Base,45,-79
Ohio Department of Transportation Dist 6 Heliport,40,-83
Foss Heliport,43,-71
Murfreesboro Municipal Airport,36,-86
Town & Country Airpark,33,-86
Farm Air Service Airport,31,-85
Will A Hildreth Farm Airport,36,-84
Jicalapa Airport,15,-86
Hercules Inc. Heliport,40,-74
South Jersey Hospital System Heliport,39,-75
Pine Hill Airport,42,-89
Delaware State Police Heliport,39,-76
Williams Airport,44,-89
Joe Williams Nolf Airport,33,-89
Fuller Field,40,-86
Mc Christy Airport,40,-89
Strohmier Airport,41,-79
Lanzarote Airport,29,-14
Hamilton Helistop,31,-83
Marine Helicopter Squadron 361 Heliport,41,-73
Nanortalik Heliport,60,-45
Mc Laughlin Seaplane Base,37,-77
Oakview Airport,35,-83
Knoxville Downtown Island Airport,36,-84
Kite Field,36,-83
Marathon Venice Heliport,29,-89
D.C. Heliport,44,-77
Ralph E. Daniels Airport,41,-89
Samsula / Coe Field,29,-81
Highland County Airport,39,-84
Fordwich Airport,44,-81
Monica Airport,16,-87
Wendell H Ford Airport,37,-83
Maple Ridge Airport,43,-78
Gearhart-Hollow Heliport,42,-90
Carleton Place Airport,45,-76
Gardner Airport,27,-82
Brokenstraw Airport,42,-79
Raju Airport,32,-85
Hardin County Airport,41,-84
Wellmore Heliport,37,-82
Hickory Tree Farm Airport,39,-78
Campechuela Airport,20,-77
Northeastern Regional Airport,36,-77
Valkaria Airport,28,-81
New Liberty Field,39,-86
Meadstown Airstrip,36,-76
White Birch Field,42,-75
Grimsby Airpark,43,-80
Boyd Field,36,-77
Port Meadville Heliport,42,-80
Wayne County Airport,41,-82
Memorial Hospital Heliport,32,-81
Lowell Airport,41,-88
Shenandoah Valley Regional Airport,38,-79
Sagulla Airport,41,-80
Bob Sikes Airport,31,-87
Wells Seaplane Base,43,-74
Berlin Lndg Area,42,-72
Boone National Guard Heliport,38,-85
Johnson Heliport,28,-83
Griffiss International Airport,43,-75
Wind Drift Heliport,41,-75
William E. Koenig Airport,39,-90
Rangeley Lake Seaplane Base,45,-71
Bostwick Farm Airport,44,-73
Meadowbrook Airport,43,-71
Paul's Plantation Airport,34,-80
Ramada Helistop,37,-83
Tungubakkar Airport,64,-22
Brown Airport,42,-86
El Congo Airport,21,-77
Saglek Airport,58,-63
Tomvale Airport,45,-77
Trenton Airport,46,-63
Jackson Memorial Hospital Heliport,26,-80
Lenawee County Airport,42,-84
Ciudad Nacaome Airport,14,-87
St Clair County Airport,34,-86
Orlando North Airpark,29,-82
Logan Field,31,-86
Green Pond Airport,35,-82
Paquet Airport,47,-72
House Movers Field,34,-82
Pottageville Airport,44,-80
Unger Field,39,-83
Morgan Field,32,-89
David Lowe Airport,37,-87
Columbus Municipal Airport,39,-86
Bucks Airport,41,-81
Tri-County Airport,41,-90
Flomaton Airport,31,-87
Rabbit Lane Airport,43,-76
Hato Grande Airport,12,-85
Orange County Airport,42,-74
Corporate Ridge Heliport,42,-73
Scibelli Heliport,42,-73
Merrys Pymatuning Airport,42,-80
South Glastonbury Heliport,42,-73
Porters Lake Airport,45,-63
Waine Heliport,41,-70
Bedson's Land Base Airport,43,-78
Lac-Des-Îles Seaplane Base,46,-76
Vienna Correctional Center Heliport,37,-89
Brannon Field,41,-81
Copan Ruinas Airport,15,-89
Roanoke Municipal Airport,33,-85
Greater Gortner Airport,39,-79
Javika Airport,34,-79
Cmelak Field,42,-73
Roberts Field,40,-85
Station Nord Landing Strip,82,-17
Wilson Airport,40,-87
Stone Mountain Park Public Safety Heliport,34,-84
Winterwood Airport,43,-71
Woodstock (Hospital) Heliport,43,-81
Ridge Soaring Gliderport,41,-78
Waspam Airport,15,-84
Kingston Airfield,44,-77
Las Vegas Airport,15,-88
Harvey Police Department Heliport,42,-88
Kerby Field,42,-86
Rotunda Heliport,27,-82
Hartung Airport,41,-75
Cambridge Municipal Airport,40,-82
Geo H Lanier Memorial Hosp Heliport,33,-85
Loy Airport,41,-88
Leo E. Goetz County Airport,45,-84
Baskin Airport,36,-90
Sadler Hill Heliport,43,-71
Travel Lodge Heliport,30,-81
Moosonee Seaplane Base,51,-81
North Bay Airport,46,-79
Lost Bridge Airport,39,-85
Saranac Farm Airport,31,-84
Jeffries Farm Airport,38,-85
Flying W Airport,40,-75
Wyeth Pharmaceuticals Heliport,40,-75
Alexandria Aerodrome,45,-75
Dutchess County Airport,42,-74
Kitty Hawk Farm Ultralightport,38,-84
Charlotte-Monroe Executive Airport,35,-81
Potoczak Airport,43,-79
Ochsner Medical Institutions Heliport,30,-90
Gord Airport,42,-89
Selfs Airport,34,-90
Tva Heliport,36,-82
Lazy B Ranch Airport,40,-77
Pevey Airport,39,-76
Maicao Airport,11,-72
Clear Lake Heliport,42,-85
Kitchens Field,33,-84
Flying 'F' Farms Airport,30,-83
Sky Manor Airport,41,-75
Hahn Heliport,41,-75
Broward General Medical Center Heliport,26,-80
Vaucluse Farm Heliport,42,-71
Cheryl-Lane Landings Airport,29,-82
Ummc Heliport,42,-84
Bar River Airport,46,-84
Cherry Hill Inn Heliport,40,-75
Smiths Falls-Montague (Russ Beach) Airport,45,-76
Williams Airport,38,-86
Kay Air Airport,40,-86
Camden Airfield,10,-61
Mackar Inlet Airport,68,-86
Lake Weir Seaplane Base,29,-82
Samaná El Catey International Airport,19,-70
Ashley Field,29,-82
Triple W Airport,36,-79
Monk Heliport,41,-75
Blue Sea Lake Seaplane Base,46,-76
Winding Creek Airport,35,-77
Double J Airport,39,-84
Arant Airport,35,-80
Dunn Airport,42,-89
Lake Isabella Airpark,44,-85
Maple Cave Park Airport,42,-80
L G Hospital Heliport,37,-79
Inezgane Airport,30,-10
White Post Airport,39,-78
St Anthony Medical Center Heliport,42,-89
Anne Arundel Medical Center Heliport,39,-77
Nasa Shuttle Landing Facility Airport,29,-81
Winchelsea Airport,40,-75
Hatfield Airport,42,-86
Picatinny Army Heliport,41,-75
Elizabethville Airstrip,44,-78
Koenig Airport,39,-90
Cook County Airport,31,-83
De De Airport,33,-84
Doctors Hospital Heliport,33,-82
Fox Harbour Airport,46,-63
Compass Rose Airport,42,-89
Russell Field,43,-74
Comanche Landing Airport,31,-83
Fredericton (Forestry Centre) Heliport,46,-67
Melrose Landing Airport,30,-82
Mc Gavock Heliport,36,-87
Florida State Hospital Heliport,31,-85
Blair Lake Airport,46,-90
Harrisburg Medical Center Heliport,38,-89
Brady Ranch Airport,27,-81
Siler City Municipal Airport,36,-80
Barrie-Orillia (Lake Simcoe Regional Airport),44,-80
Southern Seaplane Airport,30,-90
Shiroles Airport,10,-83
Natashquan (Lac De L'Avion) Seaplane Base,50,-62
Strayhorn Ranch Airport,27,-82
Fairview Airport,35,-82
Barbour Island Airport,32,-81
Newnan Hospital Heliport,33,-85
Marchmont Plantation Airpark,36,-80
Dammon Heliport,41,-87
Avery County Morrison Field,36,-82
Spring Point Airport,22,-74
Mc Donald Airport,36,-86
Cattle Creek Ranch Airport,31,-85
Lilienthal Airport,46,-88
Kenner Farm Airport,36,-84
Reid Hospital Heliport,40,-85
Woodstock Airport,39,-76
Harrington Farms Airport,42,-89
Midkiff Airport,40,-85
Valley City Flying Club Airport,41,-82
Maben Airport,42,-74
Chesnut Knolls Airport,37,-84
Maule's Roost Airport,44,-73
Stonewall Heliport,34,-85
New England Memorial Hospital Heliport,42,-71
Baisden Airport,39,-83
Deerfield Landing Airport,33,-84
Pecan Ponds Farm Airport,31,-88
Albert Einstein Medical Center Heliport,40,-75
Hampton Roads Executive Airport,37,-76
Tgp Station 546 Heliport,33,-88
Larry D Boven Airport,42,-85
Ark-Mo Airport,36,-90
Errol Airport,45,-71
Cotton Patch Airport,35,-89
Slobovia Outernational Airport,32,-90
Cochran Airport,33,-90
Topsail Airpark,34,-78
Ilimanaq Heliport,69,-51
Cleveland Clinic Florida Hospital Heliport,26,-80
St. Andrews Codroy Valley Airport,48,-59
Lost Acres Airport,40,-78
San Jose Northwest Airport,21,-77
Martins Aerodrome,44,-88
Doctors Hospital Heliport,31,-86
Greenwood Municipal Airport,40,-86
Aeronut Park Balloonport,43,-84
Philip S. W. Goldson International Airport,18,-88
Charlottetown Airport,46,-63
Lutz RLA Restricted Landing Area,40,-90
Grímsey Airport,67,-18
Clum Airport,40,-82
D J Airport,44,-85
Airport Manatee Airport,28,-83
Tallon Field,34,-80
Nikkila Farms Airport,47,-89
Sikeston Memorial Municipal Airport,37,-90
Little River Airport,30,-83
Weiss Airfield,43,-77
Tgp Station 860 Heliport,36,-87
Lee Field,38,-77
Porter Airport,31,-90
Archer Memorial Field,43,-84
Ottawa Executive Airport,43,-86
Memorial Hospital Heliport,38,-89
Nashville International Airport,36,-87
Bald Eagle Field,40,-82
GDPS - Police Heliport,34,-84
Samaritan Hospital Heliport,41,-82
Las Marias Airport,16,-85
Colliers Mills Heliport,40,-74
Mulberry Run Airport,39,-78
Creighton Airport,41,-86
Altoona Regional Hospital Heliport,41,-78
Marcidale Airport,40,-87
Congamond Lake Heliport,42,-73
Lt Landing Airport,32,-83
Goodenough Airport,41,-86
Refreshment Services Inc Heliport,40,-89
Arthur (Peskett Field),44,-80
Rmz Heliport,42,-81
Paramount Air Airport,39,-75
Tyler Airport,42,-76
Heart of Florida Medical Center Heliport,28,-82
The Wolf Den Airport,41,-85
Madison County Executive -Tom Sharp Jr Airport,35,-87
Rossi Field,30,-83
Montebello Filtration Plant Heliport,39,-77
Farmington Airport,40,-76
Brown Heliport,40,-89
Martens Stadium Heliport,41,-74
The Florida Keys Marathon Airport,25,-81
Galesburg Cottage Hospital Heliport,41,-90
Upperville Airport,39,-78
Sherk Field,41,-86
Macantaca Airport,13,-84
Bay Helicopters Heliport,30,-86
Beaufort County Memorial Hospital Heliport,32,-81
Hasselbring Airport,40,-88
Pokety Airport,39,-76
Barra de Parismina Airport,10,-83
Manalapan Township-Village Green Heliport,40,-74
Peachtree City Falcon Field,33,-85
Mack Trucks Helistop,41,-75
Natuashish Airport,56,-61
